"p"|"78687631"|"34326355"
"p"|"78687629"|"34326354"
"k"|"78687593"|"34326335"
"t"|"78687593"|"34326336"
"t"|"78687591"|"34326333"
"k"|"78687591"|"34326334"
"k"|"78687628"|"34326353"
"k"|"78687627"|"34326352"
"w"|"78687626"|"34326351"
"k"|"78687589"|"34326332"
"w"|"78687588"|"34326331"
"m"|"78687585"|"34326328"
"q"|"78687585"|"34326329"
"k"|"78687585"|"34326330"
"k"|"78687584"|"34326327"
"k"|"78687581"|"34326326"
"k"|"78687580"|"34326325"
"w"|"78687579"|"34326324"
"t"|"78687578"|"34326322"
"k"|"78687578"|"34326323"
"t"|"78687613"|"34326346"
"k"|"78687613"|"34326347"
"p"|"78687663"|"34326365"
"t"|"78687609"|"34326344"
"k"|"78687609"|"34326345"
"k"|"78687607"|"34326343"
"k"|"78687605"|"34326342"
"k"|"78687603"|"34326341"
"k"|"78687601"|"34326340"
"t"|"78687599"|"34326337"
"k"|"78687599"|"34326338"
"n"|"78687599"|"34326339"
"p"|"78687660"|"34326364"
"t"|"78687574"|"34326319"
"k"|"78687574"|"34326320"
"n"|"78687574"|"34326321"
"n"|"78687573"|"34326316"
"k"|"78687573"|"34326317"
"t"|"78687573"|"34326318"
"n"|"78687571"|"34326313"
"k"|"78687571"|"34326314"
"t"|"78687571"|"34326315"
"k"|"78687616"|"34326350"
"w"|"78687615"|"34326349"
"w"|"78687614"|"34326348"
"p"|"78687653"|"34326363"
"p"|"78687650"|"34326362"
"p"|"78687646"|"34326361"
"p"|"78687641"|"34326359"
"p"|"78687639"|"34326358"
"p"|"78687644"|"34326360"
"p"|"78687636"|"34326357"
"t"|"78687569"|"34326311"
"k"|"78687569"|"34326312"
"k"|"78687568"|"34326309"
"t"|"78687568"|"34326310"
"t"|"78687566"|"34326307"
"k"|"78687566"|"34326308"
"t"|"78687564"|"34326305"
"k"|"78687564"|"34326306"
"p"|"78687634"|"34326356"
