"SM"|Yes|"78687633"|"145687716"
"SC-SM"|No |"78687633"|"145687717"
"ML"|Yes|"78687632"|"145687715"
"SM"|No |"78687631"|"145687712"
"SC-SM"|No |"78687631"|"145687713"
"ML"|Yes|"78687631"|"145687714"
"CH"|Yes|"78687630"|"145687711"
"CH"|Yes|"78687629"|"145687710"
"SC-SM"|Yes|"78687628"|"145687708"
"SM"|No |"78687628"|"145687709"
"CL-ML"|Yes|"78687627"|"145687706"
"ML"|No |"78687627"|"145687707"
"SC-SM"|Yes|"78687626"|"145687704"
"SM"|No |"78687626"|"145687705"
"SC-SM"|Yes|"78687625"|"145687702"
"SM"|No |"78687625"|"145687703"
"SM"|Yes|"78687613"|"145687686"
"SM"|Yes|"78687612"|"145687684"
"SP-SM"|No |"78687612"|"145687685"
"SM"|Yes|"78687664"|"145687757"
"SM"|Yes|"78687663"|"145687756"
"SM"|Yes|"78687611"|"145687682"
"SP-SM"|No |"78687611"|"145687683"
"SP-SM"|No |"78687624"|"145687699"
"GP"|Yes|"78687624"|"145687700"
"GP-GM"|No |"78687624"|"145687701"
"GP-GM"|No |"78687623"|"145687695"
"GP"|Yes|"78687623"|"145687696"
"SP-SM"|No |"78687623"|"145687697"
"SP"|No |"78687623"|"145687698"
"SM"|Yes|"78687662"|"145687754"
"SP-SM"|No |"78687662"|"145687755"
"CL-ML"|Yes|"78687661"|"145687752"
"ML"|No |"78687661"|"145687753"
"CL-ML"|Yes|"78687660"|"145687750"
"ML"|No |"78687660"|"145687751"
"GW"|Yes|"78687617"|"145687690"
"GP-GC"|Yes|"78687616"|"145687689"
"GP-GC"|Yes|"78687615"|"145687688"
"GP-GC"|Yes|"78687614"|"145687687"
"SM"|Yes|"78687622"|"145687694"
"SM"|Yes|"78687621"|"145687693"
"SP"|Yes|"78687659"|"145687748"
"SP-SM"|No |"78687659"|"145687749"
"CL-ML"|Yes|"78687658"|"145687746"
"ML"|No |"78687658"|"145687747"
"SM"|Yes|"78687657"|"145687745"
"SM"|Yes|"78687656"|"145687744"
"SM"|No |"78687655"|"145687742"
"SP-SM"|Yes|"78687655"|"145687743"
"CH"|Yes|"78687654"|"145687741"
"CH"|Yes|"78687653"|"145687740"
"SM"|Yes|"78687652"|"145687738"
"SP-SM"|No |"78687652"|"145687739"
"CL-ML"|No |"78687651"|"145687736"
"ML"|Yes|"78687651"|"145687737"
"CL-ML"|No |"78687650"|"145687734"
"ML"|Yes|"78687650"|"145687735"
"SM"|Yes|"78687649"|"145687733"
"SM"|Yes|"78687648"|"145687732"
"ML"|Yes|"78687647"|"145687731"
"ML"|Yes|"78687646"|"145687730"
"ML"|Yes|"78687642"|"145687726"
"ML"|Yes|"78687641"|"145687725"
"ML"|Yes|"78687640"|"145687724"
"ML"|Yes|"78687639"|"145687723"
"CL"|Yes|"78687645"|"145687729"
"CL"|Yes|"78687644"|"145687728"
"SM"|Yes|"78687643"|"145687727"
"ML"|Yes|"78687638"|"145687722"
"CH"|Yes|"78687637"|"145687721"
"CH"|Yes|"78687636"|"145687720"
"CL"|Yes|"78687635"|"145687719"
"CL"|Yes|"78687634"|"145687718"
"SM"|Yes|"78687620"|"145687692"
"SM"|Yes|"78687619"|"145687691"
"GC"|Yes|"78687593"|"145687653"
"SC"|No |"78687593"|"145687654"
