areasymbol	url
KS023	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS023_soildb_US_2003_[2025-08-27].zip
KS039	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS039_soildb_US_2003_[2025-08-27].zip
KS051	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS051_soildb_US_2003_[2025-08-27].zip
KS063	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS063_soildb_US_2003_[2025-08-27].zip
KS065	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS065_soildb_US_2003_[2025-08-27].zip
KS071	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS071_soildb_US_2003_[2025-08-27].zip
KS075	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS075_soildb_US_2003_[2025-08-27].zip
KS101	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS101_soildb_US_2003_[2025-08-27].zip
KS109	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS109_soildb_US_2003_[2025-08-27].zip
KS135	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS135_soildb_US_2003_[2025-08-27].zip
KS137	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS137_soildb_US_2003_[2025-08-27].zip
KS147	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS147_soildb_US_2003_[2025-08-27].zip
KS153	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS153_soildb_US_2003_[2025-08-27].zip
KS163	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS163_soildb_US_2003_[2025-08-27].zip
KS165	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS165_soildb_US_2003_[2025-08-27].zip
KS171	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS171_soildb_US_2003_[2025-08-27].zip
KS179	https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_KS179_soildb_US_2003_[2025-08-27].zip
